References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
D1	1	SMA Diode	Bourns	SMAJ12A									SMAJ12ABCT-ND	652SMAJ12A	7673721P	67R1525	1899443
D2	1	SMB Diode	Littelfuse	SMBJ12A									SMBJ12ALFCT-ND	576SMBJ12A	7645574	72K7310	1827609
D3	1	SMC Diode	Vishay	SMCJ15CA-E3/57T									SMCJ15CA-E3/57TGICT-ND	625SMCJ15CAE3	5180741P	10R0752	1698885
D4	1	SOD-123 Diode	Diodes Inc.	SD101CW-7-F	Diodes Inc.	1N5711W-7-F							1N5711W-FDICT-ND	6211N5711WF	7512733	23T9766	1858640
D5	1	SOD-323 Diode	Diodes Inc.	BAT54WS-7-F									BAT54WS-FDICT-ND	621BAT54WSF	7384844P	12T1408	1843687
D6	1	SOD-523 Diode	Central Semiconductor	CMOZ1L8 TR	Bourns	CDSOD523-T05	Bourns	CDSOD523-T05C	Central Semiconductor	CMOZ22L TR	Nexperia	BZX585-C2V7,115	BZX585-C2V7,115-ND	771BZX585C2V7115		32AC6814	2777512
J1	1	USB micro B	Molex	47346-0001									WM17141CT-ND	538473460001	7025475	96M8533	1568026
LED2	1	led 0402 red	Lumex	SML-LX0402SIC-TR	Panasonic	LNJ247W82RA	Broadcom	HSMC-C280					516-3060-1-ND	630HSMCC280	8676548P	68Y1150	2494321
LED3	1	LED 0603 red	Everlight	19-217/R6C-AL1M2VY/3T	Broadcom	HSMH-C190							1080-1585-1-ND	630HSMHC190	7166570P	68Y1170	2497373
LED4	1	LED 0805 red	Dialight	597-3003-407F									350-2947-1-ND	6455973003407F	419209	59M5865	1465992
LED5	1	LED 1206 red	Dialight	597-3111-402F									350-2880-ND	6455973111402F		93B3495	4600927
R1	1	1k 0201	TE Connectivity	1-2176075-0									A115942TR-ND	279121760750	1248151P	87X8550	2443212
R2	1	1k 0402	Vishay	CRCW04021K00FKED									541-1.00KLCT-ND	71CRCW04021.0KE3	6788872	24W1850	2132441
R3	1	1k 0603	Vishay	CRCW06031K00FKEA									541-1.00KHCT-ND	71CRCW06031.0KE3	6789875		2132444
R4	1	1k 0805	Vishay	CRCW08051K00FKEA									541-1.00KCDKR-ND	71CRCW08051.0KE3	6790982	61M5425	2303550
R5	1	1k 1206	Vishay	CRCW12061K00FKEA									541-1.00KFDKR-ND	71CRCW12061.0KE3	6791844	61M5528	2307294
SW1	1	KMR2	C&K Components	KMR211NG LFS	C&K Components	KMR231NG LFS							CKN10246CT-ND	611KMR211NGLFS	1359089	50AC5257	2845733
SW2	1	EVQPE1	Panasonic	EVQ-PE104K									P13593SCT-ND	667EVQPE104K			2459522
SW3	1	B3U-1000P	Omron	B3U-1000P									SW1020CT-ND	653B3U1000P	419867	34M5296	1333654
SW4	1	FSMCT	TE Connectivity / Alcoswitch	FSMCT	TE Connectivity / Alcoswitch	FSMCTATR									1314775P	95Y0178	2610939
SW5	1	TL3315NF160Q	E-Switch	TL3315NF160Q									EG4621CT-ND	612TL3315NF160Q		15N4507	1633037
SW6	1	FSM2JSM	TE Connectivity	FSM2JSMAATR									450-1792-1-ND	506FSM2JSMAATR	7182474	14H0922	2667807
SW7	1	JS202011SCQN	C&K Components	JS202011SCQN									401-2002-1-ND	611JS202011SCQN	1546137		2320019
